"TradeDate","Buy/Sell","Quantity","Symbol","Expiry","Strike","Put/Call","TradePrice","Proceeds","IBCommission","NetCash","AssetClass","Open/CloseIndicator","Multiplier","Notes/Codes"
"20150205","SELL","-1","COST  160115C00095000","20160115","95","C","55.32","5532","-1.214257","5530.785743","OPT","C","100",""
"20150205","BUY","1","COST  160115P00095000","20160115","95","P","0.77","-77","-1.09","-78.09","OPT","C","100",""
"20150116","BUY","1","DIS   150117C00095000","20150117","95","C","0.19","-19","-1.0882","-20.0882","OPT","C","100",""
"20150116","SELL","-1","DIS   150320C00100000","20150320","100","C","1.1","110","-1.092631","108.907369","OPT","O","100",""
"20150318","BUY","1","DIS   150320C00100000","20150320","100","C","6.43","-643","-1.09","-644.09","OPT","C","100",""
"20150318","SELL","-1","DIS   150515C00105000","20150515","105","C","4.43","443","-1.100151","441.899849","OPT","O","100",""
"20150515","BUY","1","DIS   150515C00105000","20150515","105","C","4.89","-489","-1.09","-490.09","OPT","C","100",""
"20150515","SELL","-1","DIS   151016C00110000","20151016","110","C","5.39","539","-1.101918","537.898082","OPT","O","100",""
"20151016","BUY","1","DIS   151016C00110000","20151016","110","C","0","-0","0","0","OPT","C","100","Ep"
"20150219","BUY","1","EXPD  150220C00045000","20150220","45","C","1.15","-115","-0.34","-115.34","OPT","C","100",""
"20150220","BUY","1","EXPD  150220P00043000","20150220","43","P","0","-0","0","0","OPT","C","100","Ep"
"20150224","SELL","-1","EXPD  150515C00048000","20150515","48","C","1.35","135","-1.094484","133.905516","OPT","O","100",""
"20150515","BUY","1","EXPD  150515C00048000","20150515","48","C","0","-0","0","0","OPT","C","100","Ep"
"20150408","SELL","-1","EXPD  150515P00045000","20150515","45","P","0.7","70","-0.343288","69.656712","OPT","O","100",""
"20150515","BUY","1","EXPD  150515P00045000","20150515","45","P","0","-0","0","0","OPT","C","100","Ep"
"20150618","SELL","-1","EXPD  150821C00050000","20150821","50","C","0.85","85","-0.243564","84.756436","OPT","O","100",""
"20150820","BUY","1","EXPD  150821C00050000","20150821","50","C","0.15","-15","-1.0927","-16.0927","OPT","C","100",""
"20150520","SELL","-1","EXPD  150821P00046000","20150821","46","P","1.3","130","-0.344392","129.655608","OPT","O","100",""
"20150821","BUY","1","EXPD  150821P00046000","20150821","46","P","0","-0","0","0","OPT","C","100","Ep"
"20150824","SELL","-1","EXPD  151120C00050000","20151120","50","C","1.1","110","-1.946724","108.053276","OPT","O","100",""
"20151120","BUY","1","EXPD  151120C00050000","20151120","50","C","0","-0","0","0","OPT","C","100","Ep"
"20150824","SELL","-1","EXPD  151120P00046000","20151120","46","P","2.1","210","-1.948564","208.051436","OPT","O","100",""
"20151120","BUY","1","EXPD  151120P00046000","20151120","46","P","0","-0","0","0","OPT","C","100","Ep"
"20151124","SELL","-1","EXPD  151218C00050000","20151218","50","C","0.45","45","-0.344528","44.655472","OPT","O","100",""
"20151218","BUY","1","EXPD  151218C00050000","20151218","50","C","0","-0","0","0","OPT","C","100","Ep"
"20151124","SELL","-1","EXPD  151218P00048000","20151218","48","P","0.7","70","-0.344988","69.655012","OPT","O","100",""
"20151216","BUY","1","EXPD  151218P00048000","20151218","48","P","1.35","-135","-1.0917","-136.0917","OPT","C","100",""
"20151216","SELL","-1","EXPD  160115C00048000","20160115","48","C","0.7","70","-1.094988","68.905012","OPT","O","100",""
"20151216","SELL","-1","EXPD  160115P00046000","20160115","46","P","0.85","85","-1.095264","83.904736","OPT","O","100",""
"20150326","SELL","-1","FB    170120C00050000","20170120","50","C","36.5","3650","-0.85916","3649.14084","OPT","O","100",""
"20150326","BUY","1","FB    170120C00050000","20170120","50","C","36.75","-3675","-0.87","-3675.87","OPT","C","100","P"
"20150326","BUY","1","FB    170120C00050000","20170120","50","C","36.75","-3675","-0.19","-3675.19","OPT","O","100","P"
"20150911","SELL","-1","FEYE  151016P00035000","20151016","35","P","1.5","150","-1.09646","148.90354","OPT","O","100","P"
"20150911","SELL","-1","FEYE  151016P00035000","20151016","35","P","1.5","150","-0.19646","149.80354","OPT","O","100","P"
"20151015","BUY","1","FEYE  151016P00035000","20151016","35","P","6.72","-672","-0.7917","-672.7917","OPT","C","100","P"
"20151015","BUY","1","FEYE  151016P00035000","20151016","35","P","6.71","-671","-0.4917","-671.4917","OPT","C","100","P"
"20151015","SELL","-1","FEYE  151218P00035000","20151218","35","P","7.42","742","-0.8073528","741.1926472","OPT","O","100","P"
"20151015","SELL","-1","FEYE  151218P00035000","20151218","35","P","7.41","741","-0.5073344","740.4926656","OPT","O","100","P"
"20151130","BUY","2","FEYE  151218P00035000","20151218","35","P","0","-0","0","0","OPT","C","100","A"
"20150114","BUY","1","GME   150117P00036000","20150117","36","P","0.53","-53","-0.7882","-53.7882","OPT","C","100",""
"20150114","SELL","-1","GME   150417P00035000","20150417","35","P","3.48","348","-0.797891","347.202109","OPT","O","100",""
"20150417","BUY","1","GME   150417P00035000","20150417","35","P","0","-0","0","0","OPT","C","100","Ep"
"20150618","SELL","-1","GME   151016C00045000","20151016","45","C","1.86","186","-1.0954224","184.9045776","OPT","O","100",""
"20151016","BUY","1","GME   151016C00045000","20151016","45","C","0","-0","0","0","OPT","C","100","Ep"
"20150618","BUY","1","GME   151016C00048000","20151016","48","C","1.06","-106","-1.09","-107.09","OPT","O","100",""
"20151016","SELL","-1","GME   151016C00048000","20151016","48","C","0","-0","0","0","OPT","C","100","Ep"
"20150618","SELL","-1","GME   151016P00039000","20151016","39","P","1.7","170","-1.095128","168.904872","OPT","O","100",""
"20151016","BUY","1","GME   151016P00039000","20151016","39","P","0","-0","0","0","OPT","C","100","Ep"
"20151023","SELL","-1","GME   160115C00047000","20160115","47","C","3.26","326","-1.0996984","324.9003016","OPT","O","100",""
"20151023","BUY","1","GME   160115C00050000","20160115","50","C","3.38","-338","-1.0917","-339.0917","OPT","O","100",""
"20151023","SELL","-1","GME   160115P00041000","20160115","41","P","3.02","302","-1.0992568","300.9007432","OPT","O","100",""
"20150210","SELL","-1","GNTX  150320P00017500","20150320","17.5","P","0.6","60","-1.093326","58.906674","OPT","O","100","P"
"20150210","SELL","-1","GNTX  150320P00017500","20150320","17.5","P","0.6","60","0.076674","60.076674","OPT","O","100","P"
"20150320","BUY","2","GNTX  150320P00017500","20150320","17.5","P","0","-0","0","0","OPT","C","100","Ep"
"20150812","SELL","-2","GNTX  150918P00015000","20150918","15","P","0.35","70","-0.690688","69.309312","OPT","O","100",""
"20150918","BUY","2","GNTX  150918P00015000","20150918","15","P","0","-0","0","0","OPT","C","100","Ep"
"20151016","SELL","-1","GNTX  151120P00015000","20151120","15","P","0.3","30","-0.344252","29.655748","OPT","O","100",""
"20151120","BUY","1","GNTX  151120P00015000","20151120","15","P","0","-0","0","0","OPT","C","100","Ep"
"20151208","SELL","-1","GNTX  160115P00015000","20160115","15","P","0.15","15","-0.343976","14.656024","OPT","O","100","P"
"20151208","SELL","-1","GNTX  160115P00015000","20160115","15","P","0.15","15","0.256024","15.256024","OPT","O","100","P"
"20151222","SELL","-1","GNTX  160318P00015000","20160318","15","P","0.5","50","-1.09462","48.90538","OPT","O","100",""
