TradeDate,Buy/Sell,Quantity,Symbol,Expiry,Strike,Put/Call,TradePrice,Proceeds,IBCommission,NetCash,AssetClass,Open/CloseIndicator,Multiplier,Notes/Codes
20140919,BUY,1,LUK   140920P00025000,20/09/2014,25,P,0,0,0,0,OPT,C,100,Ep;
20140123,SELL,-1,MA    140419P00077500,19/04/2014,77.5,P,1.6,160,-0.773884,159.226116,OPT,O,100,
20140417,BUY,1,MA    140419P00077500,19/04/2014,77.5,P,0,0,0,0,OPT,C,100,A;
20140422,SELL,-1,MA    140530C00077000,30/05/2014,77,C,1.23,123,-1.094818,121.905182,OPT,O,100,
20140530,BUY,1,MA    140530C00077000,30/05/2014,77,C,0,0,0,0,OPT,C,100,Ep;
20140422,SELL,-1,MA    140530P00068500,30/05/2014,68.5,P,0.52,52,-1.093249,50.906751,OPT,O,100,
20140530,BUY,1,MA    140530P00068500,30/05/2014,68.5,P,0,0,0,0,OPT,C,100,Ep;
20140602,SELL,-1,MA    140719C00078000,19/07/2014,78,C,1.5,150,-0.795415,149.204585,OPT,O,100,
20140718,BUY,1,MA    140719C00078000,19/07/2014,78,C,0,0,0,0,OPT,C,100,Ep;
20140722,SELL,-1,MA    140816C00080000,16/08/2014,80,C,0.96,96,-1.094222,94.905778,OPT,O,100,
20140808,BUY,1,MA    140816C00080000,16/08/2014,80,C,0.01,-1,-0.7882,-1.7882,OPT,C,100,
20140808,SELL,-1,MA    140912C00076000,12/09/2014,76,C,1.21,121,-0.792874,120.207126,OPT,O,100,
20140912,BUY,1,MA    140912C00076000,12/09/2014,76,C,0,0,0,0,OPT,C,100,Ep;
20140915,SELL,-1,MA    141031C00078000,31/10/2014,78,C,1.15,115,-0.792742,114.207258,OPT,O,100,
20141031,BUY,1,MA    141031C00078000,31/10/2014,78,C,5.91,-591,-0.7882,-591.7882,OPT,C,100,
20141031,SELL,-1,MA    150417C00085000,17/04/2015,85,C,3.91,391,-0.798841,390.201159,OPT,O,100,
20140630,SELL,-1,ORCL  140920P00040000,20/09/2014,40,P,1.15,115,-0.794642,114.205358,OPT,O,100,
20140919,BUY,1,ORCL  140920P00040000,20/09/2014,40,P,0.4,-40,-1.0882,-41.0882,OPT,C,100,
20141209,SELL,-1,OTEX  150220P00055000,20/02/2015,55,P,1.58,158,-0.253692,157.746308,OPT,O,100,
20140321,BUY,1,PRAA  140322P00053330,22/03/2014,53.33,P,0,0,0,0,OPT,C,100,Ep;
20140806,SELL,-1,PRAA  140920P00055000,20/09/2014,55,P,1.4,140,-1.093294,138.906706,OPT,O,100,
20140919,BUY,1,PRAA  140920P00055000,20/09/2014,55,P,0,0,0,0,OPT,C,100,Ep;
20140922,SELL,-1,PRAA  141220P00055000,20/12/2014,55,P,3,300,-1.09683,298.90317,OPT,O,100,
20141219,BUY,1,PRAA  141220P00055000,20/12/2014,55,P,0,0,0,0,OPT,C,100,Ep;
20140411,SELL,-1,SBUX  140621P00065000,21/06/2014,65,P,1.4,140,-1.095194,138.904806,OPT,O,100,
20140620,BUY,1,SBUX  140621P00065000,21/06/2014,65,P,0,0,0,0,OPT,C,100,Ep;
20141215,SELL,-2,SPY   150331P00182000,31/03/2015,182,P,3.36,672,-0.855251,671.144749,OPT,O,100,
20141215,BUY,1,SPY   150331P00195000,31/03/2015,195,P,6.47,-647,-0.7182,-647.7182,OPT,O,100,
20141013,BUY,5,SPY7  141122P00200000,22/11/2014,200,P,10,-500,-3.941,-503.941,OPT,O,10,
20141121,SELL,-5,SPY7  141122P00200000,22/11/2014,200,P,0,0,0,0,OPT,C,10,Ep;
20140515,BUY,1,SSW   140517P00022500,17/05/2014,22.5,P,0.74,-74,-0.3401,-74.3401,OPT,C,100,
20140515,SELL,-1,SSW   141122P00022500,22/11/2014,22.5,P,1.89,189,-0.346277,188.653723,OPT,O,100,
20141117,BUY,1,SSW   141122P00022500,22/11/2014,22.5,P,2.87,-287,-0.3382,-287.3382,OPT,C,100,
20141117,SELL,-1,SSW   150515P00022500,15/05/2015,22.5,P,3.37,337,-0.347648,336.652352,OPT,O,100,
20141125,SELL,-1,SVXY  141220P00065000,20/12/2014,65,P,1.15,115,-0.342742,114.657258,OPT,O,100,
20141217,BUY,1,SVXY  141220P00065000,20/12/2014,65,P,7.79,-779,-0.3382,-779.3382,OPT,C,100,
20141217,SELL,-1,SVXY  150117P00060000,17/01/2015,60,P,7.79,779,-0.357416,778.642584,OPT,O,100,
20140115,SELL,-1,TCS   140222P00035000,22/02/2014,35,P,0.75,75,-0.322405,74.677595,OPT,O,100,
20140221,BUY,1,TCS   140222P00035000,22/02/2014,35,P,0.1,-10,-1.8896,-11.8896,OPT,C,100,
20140509,SELL,-1,TWTR  140621P00030000,21/06/2014,30,P,1.4,140,-0.345194,139.654806,OPT,O,100,
20140620,BUY,1,TWTR  140621P00030000,21/06/2014,30,P,0,0,0,0,OPT,C,100,Ep;
20141125,SELL,-1,TWTR  141220P00038500,20/12/2014,38.5,P,1.1,110,-1.092631,108.907369,OPT,O,100,
20141218,BUY,1,TWTR  141220P00038500,20/12/2014,38.5,P,1.4,-140,-1.0882,-141.0882,OPT,C,100,
20141218,SELL,-1,TWTR  150117P00038000,17/01/2015,38,P,2.3,230,-1.095283,228.904717,OPT,O,100,
